0 [0.01, 0.01]
5330 [4.552393e-03, 2.118498e-02]
5340 [4.634270e-03, 2.132066e-02]
5350 [4.646727e-03, 2.134165e-02]
5360 [4.600457e-03, 2.123093e-02]
5370 [4.186826e-03, 2.083376e-02]
5380 [4.666029e-03, 2.126806e-02]
5390 [4.335549e-03, 2.095475e-02]
5400 [4.707920e-03, 2.127147e-02]
5410 [4.486476e-03, 2.110067e-02]
5420 [4.686317e-03, 2.129791e-02]
5430 [4.428580e-03, 2.105466e-02]
5440 [4.658844e-03, 2.116273e-02]
5450 [4.616663e-03, 2.120478e-02]
5460 [4.570088e-03, 2.116757e-02]
5470 [4.703173e-03, 2.127725e-02]
5480 [4.510881e-03, 2.095798e-02]
5490 [4.886784e-03, 2.125055e-02]
5500 [4.326174e-03, 2.096998e-02]
5510 [4.417232e-03, 2.115848e-02]
5520 [4.631797e-03, 2.112999e-02]
5530 [4.964658e-03, 2.137549e-02]
5540 [4.836728e-03, 2.134691e-02]
5550 [4.886232e-03, 2.140234e-02]
5560 [4.607894e-03, 2.106026e-02]
5570 [4.911456e-03, 2.121728e-02]
5580 [5.043156e-03, 2.140868e-02]
5590 [4.668458e-03, 2.112028e-02]
5600 [4.986700e-03, 2.140719e-02]
5610 [4.912406e-03, 2.133996e-02]
5620 [4.272187e-03, 2.085119e-02]
5630 [4.586875e-03, 2.103479e-02]
5640 [4.992858e-03, 2.118880e-02]
5650 [5.167717e-03, 2.146756e-02]
5660 [4.942007e-03, 2.135126e-02]
5670 [4.955442e-03, 2.136870e-02]
5680 [4.413018e-03, 2.098032e-02]
5690 [4.889022e-03, 2.131240e-02]
5700 [5.055117e-03, 2.120833e-02]
5710 [4.970672e-03, 2.136099e-02]
5720 [4.929875e-03, 2.140252e-02]
5730 [5.120787e-03, 2.146391e-02]
5740 [5.129565e-03, 2.148021e-02]
5750 [4.222348e-03, 2.049679e-02]
5760 [4.449428e-03, 2.130247e-02]
5770 [4.489504e-03, 2.114736e-02]
5780 [5.213173e-03, 2.139819e-02]
5790 [5.123077e-03, 2.139714e-02]
5800 [5.152180e-03, 2.152131e-02]
5810 [5.239495e-03, 2.151863e-02]
5820 [5.268760e-03, 2.155265e-02]
5830 [5.040026e-03, 2.113864e-02]
5840 [4.484576e-03, 2.035736e-02]
5850 [4.701978e-03, 2.131845e-02]
5860 [5.012724e-03, 2.120436e-02]
5870 [5.133517e-03, 2.129624e-02]
5880 [5.035605e-03, 2.139921e-02]
